Рейтинг эффективности деятельности государственных учреждений Свердловской области, в отношении которых Министерству образования и молодежной политики Свердловской области осуществляет функции и полномочия учредителя, за 2021 год;;;;;;
;;;;;;
Номер строки;Код ПБС;Наименование ПБС;Баллы;Максимальное количество баллов;Итоговый балл;Уровень эффективности
1.;012038;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский торгово-экономический техникум»;158,00;161,00;98,14;Высокоэффективное
2.;012081;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский педагогический колледж № 2»;158,00;161,00;98,14;Высокоэффективное
3.;012042;Государственное автономное образовательное учреждение дополнительного профессионального образования Свердловской области «Институт развития образования»;95,00;97,00;97,94;Высокоэффективное
4.;012040;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский экономико-технологический колледж»;156,00;161,00;96,89;Высокоэффективное
5.;012054;Государственное автономное профессиональное образовательное учреждение Свердловской области «Колледж управления и сервиса «Стиль» ;155,00;161,00;96,27;Высокоэффективное
6.;012090;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский торгово-экономический колледж»;155,00;161,00;96,27;Высокоэффективное
7.;012142;Государственное автономное нетиповое образовательное учреждение Свердловской области «Дворец молодежи»;114,00;119,00;95,80;Высокоэффективное
8.;012082;Государственное автономное профессиональное  образовательное учреждение Свердловской области «Нижнетагильский государственный профессиональный колледж имени Никиты Акинфиевича Демидова» ;154,00;161,00;95,65;Высокоэффективное
9.;012131;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский колледж технологий и предпринимательства» ;154,00;161,00;95,65;Высокоэффективное
10.;012104;Государственное автономное учреждение Свердловской области «Санаторий-профилакторий «Юбилейный»;86,00;91,00;94,51;Эффективное
11.;012068;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский  техникум торговли и сервиса»;151,00;161,00;93,79;Эффективное
12.;012003;Государственное автономное профессиональное образовательное учреждение Свердловской области «Свердловский областной педагогический колледж»;148,00;158,00;93,67;Эффективное
13.;012001;Государственное бюджетное общеобразовательное учреждение Свердловской области, реализующее адаптированные основные общеобразовательные программы, «Центр психолого-медико-социального сопровождения «Эхо»;129,00;138,00;93,48;Эффективное
14.;012205;Государственное бюджетное общеобразовательное учреждение Свердловской области «Нижнетагильская школа-интернат № 1, реализующая адаптированные основные общеобразовательные программы»;129,00;138,00;93,48;Эффективное
15.;012207;Государственное бюджетное общеобразовательное учреждение Свердловской области «Нижнетагильская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;129,00;138,00;93,48;Эффективное
16.;012043;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ирбитский гуманитарный колледж»;150,00;161,00;93,17;Эффективное
17.;012121;Государственное автономное профессиональное образовательное учреждение Свердловской области «Талицкий лесотехнический колледж им. Н.И. Кузнецова»;150,00;161,00;93,17;Эффективное
18.;012122;Государственное автономное профессиональное образовательное учреждение Свердловской области «Техникум индустрии питания и услуг «Кулинар»;150,00;161,00;93,17;Эффективное
19.;012179;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа № 2, реализующая адаптированные основные общеобразовательные программы»;128,00;138,00;92,75;Эффективное
20.;012049;Государственное автономное профессиональное образовательное учреждение Свердловской области «Камышловский педагогический колледж»;147,00;161,00;91,30;Эффективное
21.;012182;"Государственное бюджетное общеобразовательное учреждение Свердловской области ""Екатеринбургская школа-интернат № 11, реализующая адаптированные основные общеобразовательные программы""";126,00;138,00;91,30;Эффективное
22.;012002;Государственное бюджетное учреждение Свердловской области «Центр психолого-педагогической, медицинской и социальной помощи «Ресурс»;89,00;98,00;90,82;Эффективное
23.;012015;Государственное автономное профессиональное образовательное учреждение Свердловской области «Берёзовский техникум «Профи» ;146,00;161,00;90,68;Эффективное
24.;012028;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский автомобильно-дорожный колледж»;146,00;161,00;90,68;Эффективное
25.;012032;Государственное автономное профессиональное образовательное учреждение  Свердловской области «Екатеринбургский монтажный колледж»;146,00;161,00;90,68;Эффективное
26.;012127;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский колледж бизнеса, управления и технологии красоты»;146,00;161,00;90,68;Эффективное
27.;012210;Государственное бюджетное общеобразовательное учреждение Свердловской области «Ревдинская школа, реализующая адаптированные основные общеобразовательные программы»;125,00;138,00;90,58;Эффективное
28.;012023;Государственное автономное профессиональное образовательное учреждение Свердловской области «Верхнесалдинский авиаметаллургический колледж им. А. А. Евстигнеева» ;145,00;161,00;90,06;Эффективное
29.;012048;Государственное автономное профессиональное образовательное учреждение Свердловской области «Камышловский гуманитарно-технологический техникум»;145,00;161,00;90,06;Эффективное
30.;012183;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа-интернат №13, реализующая адаптированные основные общеобразовательные программы»;124,00;138,00;89,86;Эффективное
31.;012188;Государственное бюджетное общеобразовательное учреждение Свердловской области «Карпинская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;124,00;138,00;89,86;Эффективное
32.;012136;Государственное казенное учреждение Свердловской области «Хозяйственно-эксплуатационное управление Министерства образования и молодежной политики Свердловской области»;61,00;68,00;89,71;Эффективное
33.;012172;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа-интернат № 6, реализующая адаптированные основные общеобразовательные программы»;115,00;129,00;89,15;Эффективное
34.;012203;Государственное бюджетное общеобразовательное учреждение Свердловской области «Новоуральская школа № 2, реализующая адаптированные основные общеобразовательные программы»;123,00;138,00;89,13;Эффективное
35.;012033;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский промышленно-технологический техникум им. В.М. Курочкина»;143,00;161,00;88,82;Эффективное
36.;012100;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ревдинский многопрофильный техникум»;143,00;161,00;88,82;Эффективное
37.;012021;Государственное автономное профессиональное образовательное учреждение Свердловской области «Верхнепышминский механико-технологический техникум «Юность»;154,00;174,00;88,51;Эффективное
38.;012103;Государственное бюджетное общеобразовательное учреждение Свердловской области, реализующее адаптированные основные общеобразовательные программы, «Центр психолого-медико-социального сопровождения «Речевой центр»;122,00;138,00;88,41;Эффективное
39.;012174;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа № 1, реализующая адаптированные основные общеобразовательные программы» ;122,00;138,00;88,41;Эффективное
40.;012223;Государственное казенное общеобразовательное учреждение Свердловской области «Верхотурская вечерняя школа»;76,00;86,00;88,37;Эффективное
41.;012093;Государственное автономное профессиональное образовательное учреждение Свердловской области «Первоуральский металлургический колледж»;142,00;161,00;88,20;Эффективное
42.;012129;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский колледж строительства, архитектуры и предпринимательства»;142,00;161,00;88,20;Эффективное
43.;012133;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский техникум автомобильного транспорта и сервиса»;142,00;161,00;88,20;Эффективное
44.;012134;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский политехнический колледж – Межрегиональный центр компетенций»;142,00;161,00;88,20;Эффективное
45.;012151;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский техникум отраслевых технологий и сервиса»;142,00;161,00;88,20;Эффективное
46.;012010;Государственное автономное профессиональное образовательное учреждение Свердловской области «Асбестовский политехникум» ;141,00;161,00;87,58;Эффективное
47.;012030;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский колледж транспортного строительства» ;141,00;161,00;87,58;Эффективное
48.;012132;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский радиотехнический колледж им. А.С. Попова»;141,00;161,00;87,58;Эффективное
49.;012140;Государственное бюджетное  учреждение Свердловской области «Детский оздоровительный центр «Юность Урала»;77,00;88,00;87,50;Эффективное
50.;012080;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский педагогический колледж № 1»;140,00;161,00;86,96;Эффективное
51.;012125;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский государственный колледж имени И.И. Ползунова»;140,00;161,00;86,96;Эффективное
52.;012175;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа №3, реализующая адаптированные основные общеобразовательные программы»;120,00;138,00;86,96;Эффективное
53.;012064;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский агропромышленный техникум»;139,00;161,00;86,34;Эффективное
54.;012092;Государственное автономное профессиональное образовательное учреждение Свердловской области «Первоуральский политехникум»;139,00;161,00;86,34;Эффективное
55.;012204;Государственное бюджетное общеобразовательное учреждение Свердловской области «Новоуральская школа № 1, реализующая адаптированные основные общеобразовательные программы»;119,00;138,00;86,23;Эффективное
56.;012118;Государственное автономное профессиональное образовательное учреждение Свердловской области «Сухоложский многопрофильный техникум»;138,00;161,00;85,71;Эффективное
57.;012177;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа № 4, реализующая адаптированные основные общеобразовательные программы»;118,00;138,00;85,51;Эффективное
58.;012208;Государственное бюджетное общеобразовательное учреждение Свердловской области «Первоуральская школа, реализующая адаптированные основные общеобразовательные программы»;118,00;138,00;85,51;Эффективное
59.;012091;Государственное автономное профессиональное образовательное учреждение Свердловской области «Областной техникум дизайна и сервиса» ;137,00;161,00;85,09;Эффективное
60.;012106;Государственное автономное профессиональное образовательное учреждение Свердловской области «Северный педагогический колледж»;137,00;161,00;85,09;Эффективное
61.;012126;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский железнодорожный техникум»;137,00;161,00;85,09;Эффективное
62.;012229;Государственное казенное общеобразовательное учреждение Свердловской области «Ивдельская вечерняя школа»;73,00;86,00;84,88;Эффективное
63.;012055;Государственное автономное профессиональное образовательное учреждение Свердловской области «Краснотурьинский индустриальный колледж»;140,00;165,00;84,85;Эффективное
64.;012180;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа №9, реализующая адаптированные основные общеобразовательные программы»;117,00;138,00;84,78;Эффективное
65.;012196;Государственное бюджетное общеобразовательное учреждение Свердловской области «Красноуральская школа, реализующая адаптированные основные общеобразовательные программы»;117,00;138,00;84,78;Эффективное
66.;012051;Государственное автономное профессиональное образовательное учреждение Свердловской области «Карпинский машиностроительный техникум»;136,00;161,00;84,47;Эффективное
67.;012165;Государственное бюджетное общеобразовательное учреждение Свердловской области «Березовская школа, реализующая адаптированные основные общеобразовательные программы»;116,00;138,00;84,06;Эффективное
68.;012190;Государственное бюджетное общеобразовательное учреждение Свердловской области «Колчеданская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;116,00;138,00;84,06;Эффективное
69.;012152;Государственное бюджетное общеобразовательное учреждение Свердловской области, реализующее адаптированные основные общеобразовательные программы «Верхнетагильский центр психолого-педагогической, медицинской и социальной помощи» ;108,00;129,00;83,72;Эффективное
70.;012037;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Екатеринбургский техникум химического машиностроения""";134,00;161,00;83,23;Эффективное
71.;012075;Государственное автономное профессиональное образовательное учреждение Свердловской области «Новоуральский технологический колледж»;134,00;161,00;83,23;Эффективное
72.;012078;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский железнодорожный техникум»;134,00;161,00;83,23;Эффективное
73.;012214;Государственное бюджетное общеобразовательное учреждение Свердловской области «Сухоложская школа, реализующая адаптированные основные общеобразовательные программы»;107,00;129,00;82,95;Эффективное
74.;012036;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Екатеринбургский техникум ""Автоматика""";133,00;161,00;82,61;Эффективное
75.;012107;Государственное автономное профессиональное образовательное учреждение Свердловской области «Североуральский политехникум»;133,00;161,00;82,61;Эффективное
76.;012137;Государственное бюджетное общеобразовательное учреждение Свердловской области, реализующее адаптированные основные общеобразовательные программы, «Центр «Дар»;114,00;138,00;82,61;Эффективное
77.;012167;Государственное бюджетное общеобразовательное учреждение Свердловской области «Байкаловская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;114,00;138,00;82,61;Эффективное
78.;012225;Государственное казенное общеобразовательное учреждение Свердловской области «Краснотурьинская вечерняя школа»;71,00;86,00;82,56;Эффективное
79.;012063;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский политехнический колледж»;132,00;161,00;81,99;Эффективное
80.;012149;Государственное автономное профессиональное образовательное учреждение Свердловской области «Режевской политехникум»;132,00;161,00;81,99;Эффективное
81.;012178;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа № 7, реализующая адаптированные основные общеобразовательные программы»;113,00;138,00;81,88;Эффективное
82.;012130;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский техникум «Рифей»;142,00;174,00;81,61;Эффективное
83.;012265;Государственное автономное учреждение Свердловской области «Региональный центр патриотического воспитания»;71,00;87,00;81,61;Эффективное
84.;012240;"Государственное казенное общеобразовательное учреждение Свердловской области ""Екатеринбургская вечерняя школа № 1""";70,00;86,00;81,40;Эффективное
85.;012056;Государственное автономное профессиональное образовательное учреждение Свердловской области «Краснотурьинский политехникум»;131,00;161,00;81,37;Эффективное
86.;012027;Государственное автономное профессиональное образовательное учреждение Свердловской области «Высокогорский многопрофильный техникум»;131,00;161,00;81,37;Эффективное
87.;012058;Государственное автономное профессиональное образовательное учреждение Свердловской области «Красноуфимский аграрный колледж»;131,00;161,00;81,37;Эффективное
88.;012146;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ирбитский мотоциклетный техникум»;131,00;161,00;81,37;Эффективное
89.;012105;Государственное бюджетное общеобразовательное учреждение Свердловской области кадетская школа-интернат «Свердловский кадетский корпус имени капитана 1 ранга М.В. Банных»;109,00;134,00;81,34;Эффективное
90.;012206;Государственное бюджетное общеобразовательное учреждение Свердловской области «Нижнетагильская школа-интернат № 2, реализующая адаптированные основные общеобразовательные программы»;112,00;138,00;81,16;Эффективное
91.;012077;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский горно-металлургический колледж имени Е.А. и М.Е. Черепановых»;130,00;161,00;80,75;Эффективное
92.;012099;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ревдинский педагогический колледж»;130,00;161,00;80,75;Эффективное
93.;012199;Государственное бюджетное общеобразовательное учреждение Свердловской области «Школа № 1 города Лесного, реализующая адаптированные основные общеобразовательные программы»;111,00;138,00;80,43;Эффективное
94.;012009;Государственное автономное профессиональное образовательное учреждение Свердловской области «Артинский агропромышленный техникум»;129,00;161,00;80,12;Эффективное
95.;012029;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский политехникум»;129,00;161,00;80,12;Эффективное
96.;012084;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский строительный колледж»;129,00;161,00;80,12;Эффективное
97.;012072;Государственное бюджетное общеобразовательное учреждение Свердловской области «Кадетская школа-интернат «Екатеринбургский кадетский корпус войск национальной гвардии Российской Федерации»;107,00;134,00;79,85;Среднеэффективное
98.;012227;Государственное казенное общеобразовательное учреждение Свердловской области «Нижнетагильская вечерняя школа № 1»;71,00;89,00;79,78;Среднеэффективное
99.;012168;Государственное бюджетное общеобразовательное учреждение Свердловской области «Верхнепышминская школа-интернат имени С.А. Мартиросяна, реализующая адаптированные основные общеобразовательные программы»;110,00;138,00;79,71;Среднеэффективное
100.;012189;Государственное бюджетное общеобразовательное учреждение Свердловской области «Кировградская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;110,00;138,00;79,71;Среднеэффективное
101.;012057;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Красноуральский многопрофильный техникум"" ";128,00;161,00;79,50;Среднеэффективное
102.;012060;Государственное автономное профессиональное образовательное учреждение Свердловской области «Красноуфимский многопрофильный техникум» ;128,00;161,00;79,50;Среднеэффективное
103.;012108;Государственное автономное профессиональное образовательное учреждение Свердловской области «Сергинский многопрофильный техникум»;128,00;161,00;79,50;Среднеэффективное
104.;012228;Государственное казенное общеобразовательное учреждение Свердловской области «Нижнетагильская вечерняя школа № 2»;68,00;86,00;79,07;Среднеэффективное
105.;012087;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский техникум  металлообрабатывающих производств и сервиса»;127,00;161,00;78,88;Среднеэффективное
106.;012166;Государственное бюджетное общеобразовательное учреждение Свердловской области «Березовская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;108,00;138,00;78,26;Среднеэффективное
107.;012185;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа-интернат № 12, реализующая адаптированные основные общеобразовательные программы»;108,00;138,00;78,26;Среднеэффективное
108.;012193;Государственное бюджетное общеобразовательное учреждение Свердловской области «Каменск-Уральская школа, реализующая адаптированные основные общеобразовательные программы»;108,00;138,00;78,26;Среднеэффективное
109.;012201;Государственное бюджетное общеобразовательное учреждение Свердловской области «Михайловская школа-интернат, реализующая адаптированные основные общеобразовательные программы» ;108,00;138,00;78,26;Среднеэффективное
110.;012232;Государственное казенное общеобразовательное учреждение Свердловской области «Тавдинская вечерняя школа»;67,00;86,00;77,91;Среднеэффективное
111.;012041;Государственное автономное профессиональное образовательное учреждение Свердловской области «Екатеринбургский энергетический техникум»;125,00;161,00;77,64;Среднеэффективное
112.;012164;Государственное бюджетное общеобразовательное учреждение Свердловской области «Богдановичская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;107,00;138,00;77,54;Среднеэффективное
113.;012173;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа № 5, реализующая адаптированные основные общеобразовательные программы»;107,00;138,00;77,54;Среднеэффективное
114.;012059;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Красноуфимский педагогический колледж»;124,00;161,00;77,02;Среднеэффективное
115.;012162;Государственное бюджетное общеобразовательное учреждение Свердловской области «Асбестовская школа-интернат, реализующая адаптированные основные общеобразовательные программы» ;106,00;138,00;76,81;Среднеэффективное
116.;012176;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа № 8, реализующая адаптированные основные общеобразовательные программы»;106,00;138,00;76,81;Среднеэффективное
117.;012194;Государственное бюджетное общеобразовательное учреждение Свердловской области «Качканарская школа, реализующая адаптированные основные общеобразовательные программы»;105,00;138,00;76,09;Среднеэффективное
118.;012008;Государственное автономное профессиональное образовательное учреждение Свердловской области «Артемовский колледж точного приборостроения» ;122,00;161,00;75,78;Среднеэффективное
119.;012116;Государственное автономное профессиональное образовательное учреждение Свердловской области «Сысертский социально-экономический техникум «Родник»;122,00;161,00;75,78;Среднеэффективное
120.;012019;Государственное бюджетное общеобразовательное учреждение Свердловской области «Средняя общеобразовательная школа №2»;109,00;144,00;75,69;Среднеэффективное
121.;012181;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа-интернат № 10, реализующая адаптированные основные общеобразовательные программы»;104,00;138,00;75,36;Среднеэффективное
122.;012198;Государственное бюджетное общеобразовательное учреждение Свердловской области «Красноуфимская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;104,00;138,00;75,36;Среднеэффективное
123.;012264;Государственное автономное учреждение Свердловской области «Дом молодежи»;61,00;81,00;75,31;Среднеэффективное
124.;012147;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ирбитский политехникум»;121,00;161,00;75,16;Среднеэффективное
125.;012202;"Государственное бюджетное общеобразовательное учреждение Свердловской области ""Новолялинская школа, реализующая адаптированные основные общеобразовательные программы""";103,00;138,00;74,64;Среднеэффективное
126.;012218;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа-интернат «Эверест», реализующая адаптированные основные общеобразовательные программы»;103,00;138,00;74,64;Среднеэффективное
127.;012065;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский радиотехнический техникум»;120,00;161,00;74,53;Среднеэффективное
128.;012020;Государственное бюджетное общеобразовательное учреждение Свердловской области «Средняя общеобразовательная школа №3»;107,00;144,00;74,31;Среднеэффективное
129.;012153;Государственное бюджетное учреждение Свердловской области «Ирбитский центр психолого-педагогической, медицинской и социальной помощи»;75,00;101,00;74,26;Среднеэффективное
130.;012219;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа-интернат для детей, нуждающихся в длительном лечении» ;112,00;151,00;74,17;Среднеэффективное
131.;012005;Государственное автономное профессиональное образовательное учреждение Свердловской области «Алапаевский многопрофильный техникум»;119,00;161,00;73,91;Среднеэффективное
132.;012195;Государственное бюджетное общеобразовательное учреждение Свердловской области «Краснотурьинская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;102,00;138,00;73,91;Среднеэффективное
133.;012026;Государственное автономное профессиональное образовательное учреждение Свердловской области «Верхнетуринский механический техникум»;118,00;161,00;73,29;Среднеэффективное
134.;012112;Государственное автономное профессиональное образовательное учреждение Свердловской области «Серовский техникум сферы обслуживания и питания»;118,00;161,00;73,29;Среднеэффективное
135.;012124;Государственное автономное профессиональное образовательное учреждение Свердловской области «Туринский многопрофильный техникум»;118,00;161,00;73,29;Среднеэффективное
136.;012138;Государственное бюджетное учреждение Свердловской области «Центр психолого-педагогической, медицинской и социальной помощи «Ладо»;74,00;101,00;73,27;Среднеэффективное
137.;012224;Государственное казенное общеобразовательное учреждение Свердловской области «Екатеринбургская вечерняя школа № 2»;63,00;86,00;73,26;Среднеэффективное
138.;012200;Государственное бюджетное общеобразовательное учреждение Свердловской области «Школа города Лесного, реализующая адаптированные основные общеобразовательные программы»;101,00;138,00;73,19;Среднеэффективное
139.;012047;Государственное автономное профессиональное образовательное учреждение Свердловской области «Исовский геологоразведочный техникум»;117,00;161,00;72,67;Среднеэффективное
140.;012050;Государственное автономное профессиональное образовательное учреждение Свердловской области «Камышловский техникум промышленности и транспорта»;117,00;161,00;72,67;Среднеэффективное
141.;012161;Государственное бюджетное общеобразовательное учреждение Свердловской области «Ачитская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;100,00;138,00;72,46;Среднеэффективное
142.;012017;Государственное бюджетное общеобразовательное учреждение Свердловской области «Верхотурская гимназия»;104,00;144,00;72,22;Среднеэффективное
143.;012066;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский педагогический колледж»;116,00;161,00;72,05;Среднеэффективное
144.;012160;Государственное бюджетное общеобразовательное учреждение Свердловской области «Алапаевская школа, реализующая адаптированные основные общеобразовательные программы»;99,00;138,00;71,74;Среднеэффективное
145.;012216;Государственное бюджетное общеобразовательное учреждение Свердловской области «Тавдинская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;99,00;138,00;71,74;Среднеэффективное
146.;012217;Государственное бюджетное общеобразовательное учреждение Свердловской области «Харловская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;99,00;138,00;71,74;Среднеэффективное
147.;012235;Государственное бюджетное общеобразовательное учреждение Свердловской области «Серовская школа-интернат»;99,00;138,00;71,74;Среднеэффективное
148.;012046;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ирбитский аграрный техникум»;115,00;161,00;71,43;Среднеэффективное
149.;012211;Государственное бюджетное общеобразовательное учреждение Свердловской области «Североуральская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;98,00;138,00;71,01;Среднеэффективное
150.;012013;Государственное автономное профессиональное образовательное учреждение Свердловской области «Баранчинский электромеханический техникум»;114,00;161,00;70,81;Среднеэффективное
151.;012095;Государственное автономное профессиональное образовательное учреждение Свердловской области  «Полевской многопрофильный техникум им. В.И. Назарова»;114,00;161,00;70,81;Среднеэффективное
152.;012052;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Качканарский горно-промышленный колледж»;123,00;174,00;70,69;Среднеэффективное
153.;012110;Государственное автономное профессиональное образовательное учреждение Свердловской области «Серовский политехнический техникум»;123,00;174,00;70,69;Среднеэффективное
154.;012221;Государственное казенное образовательное учреждение Свердловской области «Специальное учебно-воспитательное учреждение закрытого типа для обучающихся с девиантным (общественно-опасным) поведением» ;81,00;116,00;69,83;Среднеэффективное
155.;012230;Государственное казенное общеобразовательное учреждение Свердловской области «Новолялинская вечерняя школа»;60,00;86,00;69,77;Среднеэффективное
156.;012014;Государственное автономное профессиональное образовательное учреждение Свердловской области «Белоярский многопрофильный техникум»;112,00;161,00;69,57;Среднеэффективное
157.;012016;Государственное автономное профессиональное образовательное учреждение Свердловской области «Богдановичский политехникум»;120,00;174,00;68,97;Среднеэффективное
158.;012169;Государственное бюджетное общеобразовательное учреждение Свердловской области «Верхнесинячихинская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;95,00;138,00;68,84;Среднеэффективное
159.;012266;"Государственное автономное учреждение Свердловской области ""Центр оценки профессионального мастерства и квалификаций педагогов""";53,00;77,00;68,83;Среднеэффективное
160.;012226;Государственное казенное общеобразовательное учреждение Свердловской области «Каменск-Уральская вечерняя школа»;59,00;86,00;68,60;Среднеэффективное
161.;012154;Государственное бюджетное общеобразовательное учреждение Свердловской области «Корзуновский детский дом-школа» ;93,00;136,00;68,38;Среднеэффективное
162.;012119;Государственное автономное профессиональное образовательное учреждение Свердловской области «Тавдинский техникум им. А.А. Елохина»;110,00;161,00;68,32;Среднеэффективное
163.;012220;Государственное бюджетное общеобразовательное учреждение Свердловской области «Серовская школа-интернат для детей, нуждающихся в длительном лечении» ;94,00;138,00;68,12;Среднеэффективное
164.;012113;Государственное автономное профессиональное образовательное учреждение Свердловской области «Слободотуринский аграрно-экономический техникум» ;109,00;161,00;67,70;Среднеэффективное
165.;012163;Государственное бюджетное общеобразовательное учреждение Свердловской области «Буткинская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;93,00;138,00;67,39;Среднеэффективное
166.;012197;Государственное бюджетное общеобразовательное учреждение Свердловской области «Красноуфимская школа, реализующая адаптированные основные общеобразовательные программы»;93,00;138,00;67,39;Среднеэффективное
167.;012213;Государственное бюджетное общеобразовательное учреждение Свердловской области «Серовская школа № 2, реализующая адаптированные основные общеобразовательные программы»;93,00;138,00;67,39;Среднеэффективное
168.;012158;Государственное бюджетное общеобразовательное учреждение Свердловской области «Черноусовская школа-интернат, реализующая адаптированные основные общеобразовательные программы» ;92,00;138,00;66,67;Среднеэффективное
169.;012111;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Серовский металлургический техникум»;106,00;161,00;65,84;Среднеэффективное
170.;012187;Государственное бюджетное общеобразовательное учреждение Свердловской области «Ивдельская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;90,00;138,00;65,22;Среднеэффективное
171.;012171;Государственное бюджетное общеобразовательное учреждение Свердловской области «Дегтярская школа, реализующая адаптированные основные общеобразовательные программы»;89,00;138,00;64,49;Среднеэффективное
172.;012186;Государственное бюджетное общеобразовательное учреждение Свердловской области «Ирбитская школа, реализующая адаптированные основные общеобразовательные программы»;89,00;138,00;64,49;Среднеэффективное
173.;012025;Государственное автономное профессиональное образовательное учреждение Свердловской области «Верхнесинячихинский агропромышленный техникум» ;102,00;161,00;63,35;Среднеэффективное
174.;012170;Государственное бюджетное общеобразовательное учреждение Свердловской области «Верхнесалдинская школа, реализующая адаптированные основные общеобразовательные программы»;86,00;138,00;62,32;Среднеэффективное
175.;012128;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский горнозаводской колледж имени Демидовых»;100,00;161,00;62,11;Среднеэффективное
176.;012215;Государственное бюджетное общеобразовательное учреждение Свердловской области «Туринская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;84,00;138,00;60,87;Среднеэффективное
177.;012117;Государственное автономное профессиональное образовательное учреждение Свердловской области «Социально-профессиональный техникум «Строитель»;95,00;161,00;59,01;Низкоэффективное
178.;012209;Государственное бюджетное общеобразовательное учреждение Свердловской области «Полевская школа, реализующая адаптированные основные общеобразовательные программы»;74,00;138,00;53,62;Низкоэффективное
179.;012071;Государственное автономное профессиональное образовательное учреждение Свердловской области «Полипрофильный техникум им О.В. Терёшкина»;78,00;161,00;48,45;Низкоэффективное
